0.225	0.15	0.5	0.05
0.19886	0.15	0.5	0.05
0.25248	0.15	0.5	0.05
0.22736	0.15	0.5	0.05
0.18385	0.15	0.5	0.05
0.27157	0.15	0.5	0.05
0.25268	0.15	0.5	0.05
0.19664	0.15	0.5	0.05
0.2684	0.15	0.5	0.05
0.24733	0.15	0.5	0.05
0.23155	0.15	0.5	0.05
0.26186	0.15	0.5	0.05
0.29286	0.15	0.5	0.05
0.20537	0.15	0.5	0.05
0.29151	0.15	0.5	0.05
0.29614	0.15	0.5	0.05
0.23195	0.15	0.5	0.05
0.29579	0.15	0.5	0.05
0.26159	0.15	0.5	0.05
0.20951	0.15	0.5	0.05
0.28829	0.15	0.5	0.05
0.29152	0.15	0.5	0.05
0.26472	0.15	0.5	0.05
0.22987	0.15	0.5	0.05
0.20812	0.15	0.5	0.05
0.21786	0.15	0.5	0.05
0.248	0.15	0.5	0.05
0.23585	0.15	0.5	0.05
0.2407	0.15	0.5	0.05
0.26139	0.15	0.5	0.05
0.2563	0.15	0.5	0.05
0.23318	0.15	0.5	0.05
0.2725	0.15	0.5	0.05
0.19113	0.15	0.5	0.05
0.22085	0.15	0.5	0.05
0.23577	0.15	0.5	0.05
0.29675	0.15	0.5	0.05
0.28115	0.15	0.5	0.05
0.20113	0.15	0.5	0.05
0.21151	0.15	0.5	0.05
0.18687	0.15	0.5	0.05
0.27301	0.15	0.5	0.05
0.28654	0.15	0.5	0.05
0.24104	0.15	0.5	0.05
0.27909	0.15	0.5	0.05
0.29947	0.15	0.5	0.05
0.20143	0.15	0.5	0.05
0.22899	0.15	0.5	0.05
0.29076	0.15	0.5	0.05
0.2538	0.15	0.5	0.05
0.26185	0.15	0.5	0.05
0.2575	0.15	0.5	0.05
0.24106	0.15	0.5	0.05
0.27677	0.15	0.5	0.05
0.26002	0.15	0.5	0.05
0.18797	0.15	0.5	0.05
0.21463	0.15	0.5	0.05
0.23749	0.15	0.5	0.05
0.20442	0.15	0.5	0.05
0.26765	0.15	0.5	0.05
0.25823	0.15	0.5	0.05
0.21871	0.15	0.5	0.05
0.19737	0.15	0.5	0.05
0.2862	0.15	0.5	0.05
0.22091	0.15	0.5	0.05
0.18388	0.15	0.5	0.05
0.19125	0.15	0.5	0.05
0.29963	0.15	0.5	0.05
0.21353	0.15	0.5	0.05
0.23217	0.15	0.5	0.05
0.24371	0.15	0.5	0.05
0.24099	0.15	0.5	0.05
0.22939	0.15	0.5	0.05
0.26438	0.15	0.5	0.05
0.27144	0.15	0.5	0.05
0.24151	0.15	0.5	0.05
0.20843	0.15	0.5	0.05
0.22816	0.15	0.5	0.05
0.29105	0.15	0.5	0.05
0.22085	0.15	0.5	0.05
0.21873	0.15	0.5	0.05
0.29349	0.15	0.5	0.05
0.19336	0.15	0.5	0.05
0.23955	0.15	0.5	0.05
0.23944	0.15	0.5	0.05
0.25117	0.15	0.5	0.05
0.19932	0.15	0.5	0.05
0.26537	0.15	0.5	0.05
0.21947	0.15	0.5	0.05
0.20358	0.15	0.5	0.05
0.2753	0.15	0.5	0.05
0.20961	0.15	0.5	0.05
0.22068	0.15	0.5	0.05
0.19442	0.15	0.5	0.05
0.20136	0.15	0.5	0.05
0.19201	0.15	0.5	0.05
0.22962	0.15	0.5	0.05
0.20283	0.15	0.5	0.05
0.29006	0.15	0.5	0.05
0.20549	0.15	0.5	0.05
